system,sample_count,mean_fourgram_repetition,std_fourgram_repetition,mean_eightgram_repetition,std_eightgram_repetition,mean_line_count,std_line_count,mean_mean_line_length,std_mean_line_length,mean_speaker_heading_count,std_speaker_heading_count,mean_terminal_punctuation_count,std_terminal_punctuation_count,mean_training_fourgram_overlap,std_training_fourgram_overlap,mean_longest_training_match_bytes,std_longest_training_match_bytes,mean_replacement_character_count,std_replacement_character_count
model_a,5,0.020408,0.011383,0.000000,0.000000,5.400000,0.800000,27.500000,4.898979,0.600000,0.489898,2.000000,0.632456,0.933333,0.016884,14.800000,2.400000,0.000000,0.000000
model_b,5,0.032653,0.024109,0.008392,0.016783,7.200000,1.939072,21.142222,5.754626,2.600000,1.356466,3.200000,1.600000,0.972789,0.016663,17.800000,2.135416,0.000000,0.000000
gemini_flash,5,0.047619,0.017210,0.000000,0.000000,4.600000,0.489898,32.220000,3.698730,0.000000,0.000000,1.400000,1.019804,0.994558,0.005091,69.200000,65.578655,0.000000,0.000000
corpus_control,743,0.060831,0.048610,0.011765,0.026000,5.682369,1.445762,26.972377,6.762182,1.173620,1.122751,1.982503,1.437234,,,,,0.000000,0.000000
